isin,isin_url,descrizione,cedola,ultimo,scadenza
IT0004923998,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004923998.html,"Btp Tf 4,75% St44 Eur","2,375","108,47",01/09/2044
IT0004976442,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004976442.html,Btp Coupon Strip Zc St24 Eur,,,01/09/2024
IT0004976525,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004976525.html,Btp Coupon Strip Zc St28 Eur,,"88,19",01/09/2028
IT0004976558,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0004976558.html,Btp Coupon Strip Zc Mz30 Eur,,"83,70",01/03/2030
IT0005001547,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005001547.html,"Btp Tf 3,75% St24 Eur","1,875","100,02",01/09/2024
IT0005004426,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005004426.html,"Btpi Tf 2,35% St24 Eur","1,175","100,04",15/09/2024
IT0005024234,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005024234.html,"Btp Tf 3,50% Mz30 Eur","1,75","101,38",01/03/2030
IT0005045270,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005045270.html,"Btp Tf 2,50% Dc24 Eur","1,25","99,661",01/12/2024
IT0005083057,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005083057.html,"Btp Tf 3,25% St46 Eur","1,625","87,76",01/09/2046
IT0005090318,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005090318.html,"Btp Tf 1,50% Gn25 Eur","0,75","98,48",01/06/2025
IT0005094088,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005094088.html,"Btp Tf 1,65% Mz32 Eur","0,825","88,37",01/03/2032
IT0005127086,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005127086.html,"Btp Tf 2,00% Dc25 Eur","1,00","98,45",01/12/2025
IT0005138828,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005138828.html,"Btpi Tf 1,25% St32 Eur","0,625","98,20",15/09/2032
IT0005162828,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005162828.html,"Btp Tf 2,7% Mz47 Eur","1,35","79,51",01/03/2047
IT0005170839,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005170839.html,"Btp Tf 1,60% Gn26 Eur","0,80","97,35",01/06/2026
IT0005177909,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005177909.html,"Btp Tf 2,25% St36 Eur","1,125","85,14",01/09/2036
IT0005210650,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005210650.html,Btp Tf 1.25% Dc26 Eur,"0,625","95,96",01/12/2026
IT0005217390,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005217390.html,"Btp Tf 2,8% Mz67 Eur","1,40","74,46",01/03/2067
IT0005217770,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005217770.html,Btp Italia Ot24 Eur,"0,175","99,598",24/10/2024
IT0005240350,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005240350.html,"Btp Tf 2,45% St33 Eur","1,225","91,64",01/09/2033
IT0005240830,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005240830.html,"Btp Tf 2,20% Gn27 Eur","1,10","97,76",01/06/2027
IT0005246134,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005246134.html,"Btpi Tf 1,30% Mg28 Eur","0,65","99,61",15/05/2028
IT0005273013,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005273013.html,"Btp Tf 3,45% Mz48 Eur","1,725","89,71",01/03/2048
IT0005274805,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005274805.html,"Btp Tf 2,05% Ag27 Eur","1,025","97,11",01/08/2027
IT0005282527,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005282527.html,"Btp Tf 1,45% Nv24 Eur","0,725","99,355",15/11/2024
IT0005321325,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005321325.html,"Btp Tf 2,95% St38 Eur","1,475","89,60",01/09/2038
IT0005323032,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005323032.html,"Btp Tf 2,00% Fb28 Eur","1,00","96,53",01/02/2028
IT0005327306,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005327306.html,"Btp Tf 1,45% Mg25 Eur","0,725","98,557",15/05/2025
IT0005332835,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005332835.html,Btp Italia Mg26 Eur,"0,275","97,10",21/05/2026
IT0005340929,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005340929.html,"Btp Tf 2,80% Dc28 Eur","1,40","98,79",01/12/2028
IT0005345183,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005345183.html,Btp Tf 2.50% Nv25 Eur,"1,25","99,14",15/11/2025
IT0005358806,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005358806.html,"Btp Tf 3,35% Mz35 Eur","1,675","96,94",01/03/2035
IT0005363111,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005363111.html,"Btp Tf 3,85% St49 Eur","1,925","95,03",01/09/2049
IT0005365165,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005365165.html,"Btp Tf 3,00% Ag29 Eur","1,50","99,20",01/08/2029
IT0005370306,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005370306.html,"Btp Tf 2,10% Lg26 Eur","1,05","98,15",15/07/2026
IT0005377152,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005377152.html,"Btp Tf 3,1% Mz40 Eur","1,55","89,71",01/03/2040
